date,rate
2008-01-02,7.2933687364
2008-01-03,7.2724869518
2008-01-04,7.2729680179
2008-01-05,7.2729680179
2008-01-06,7.2729680179
2008-01-07,7.2689669225
2008-01-08,7.2643318599
2008-01-09,7.2619891008
2008-01-10,7.2719274315
2008-01-11,7.2620335316
2008-01-12,7.2620335316
2008-01-13,7.2620335316
2008-01-14,7.2516280631
2008-01-15,7.2421066774
2008-01-16,7.2324229313
2008-01-17,7.2485195017
2008-01-18,7.2417881968
2008-01-19,7.2417881968
2008-01-20,7.2417881968
2008-01-21,7.2365004834
2008-01-22,7.2392024286
2008-01-23,7.2319884726
2008-01-24,7.2288072018
2008-01-25,7.210200612
2008-01-26,7.210200612
2008-01-27,7.210200612
2008-01-28,7.19701796
2008-01-29,7.1944764097
2008-01-30,7.1916272789
2008-01-31,7.1817753867
2008-02-01,7.1889985896
2008-02-02,7.1889985896
2008-02-03,7.1889985896
2008-02-04,7.188414593
2008-02-05,7.1834831155
2008-02-06,7.1839819438
2008-02-07,7.1906101997
2008-02-08,7.1839729897
2008-02-09,7.1839729897
2008-02-10,7.1839729897
2008-02-11,7.1840187044
2008-02-12,7.1840005503
2008-02-13,7.1999862882
2008-02-14,7.1904143306
2008-02-15,7.1824996593
2008-02-16,7.1824996593
2008-02-17,7.1824996593
2008-02-18,7.1622711123
2008-02-19,7.1579839913
2008-02-20,7.1436271834
2008-02-21,7.141286645
2008-02-22,7.1417699353
2008-02-23,7.1417699353
2008-02-24,7.1417699353
2008-02-25,7.152190052
2008-02-26,7.1579938147
2008-02-27,7.141983515
2008-02-28,7.1132861583
2008-02-29,7.1114920551
2008-03-01,7.1114920551
2008-03-02,7.1114920551
2008-03-03,7.104124186
2008-03-04,7.1060107852
2008-03-05,7.108120558
2008-03-06,7.105881585
2008-03-07,7.1109813842
2008-03-08,7.1109813842
2008-03-09,7.1109813842
2008-03-10,7.1028683181
2008-03-11,7.1028675467
2008-03-12,7.1009885637
2008-03-13,7.0900044938
2008-03-14,7.089390142
2008-03-15,7.089390142
2008-03-16,7.089390142
2008-03-17,7.083005707
2008-03-18,7.0810348107
2008-03-19,7.0630257456
2008-03-20,7.05161123
2008-03-21,7.05161123
2008-03-22,7.05161123
2008-03-23,7.05161123
2008-03-24,7.05161123
2008-03-25,7.0447684501
